read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,7.62939453125e-06,3.027684,25.0,25.0,63
2,10.00156307220459,2.107279,34.0,240.0,275
3,20.009540557861328,2.188874,33.0,257.0,291
4,30.01690435409546,2.271141,20.0,230.0,260
5,40.02470135688782,2.353952,25.0,258.0,285
6,50.03239583969116,2.436468,34.0,264.0,296
7,60.04003715515137,2.517178,25.0,262.0,290
8,70.04756093025208,2.597297,33.0,224.0,257
9,80.05505418777466,2.678407,30.0,273.0,296
10,90.05685925483704,2.764931,37.0,294.0,334
11,100.06417608261108,2.844766,25.0,257.0,292
12,110.0714111328125,2.926123,25.0,263.0,300
13,120.07682752609253,3.009643,23.0,251.0,276
