read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,8.58306884765625e-06,3.028695,10.0,10.0,22
2,5.000176429748535,2.065508,13.0,27.0,36
3,10.003182411193848,2.109003,17.0,45.0,61
4,15.006123065948486,2.153130,20.0,54.0,62
5,20.00812554359436,2.197312,16.0,45.0,53
6,25.01097583770752,2.241217,22.0,76.0,89
7,30.013783931732178,2.284793,10.0,42.0,67
