read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,8.821487426757812e-06,3.028018,96.0,96.0,168
2,10.006308794021606,2.103624,82.0,622.0,717
3,20.014281511306763,2.186967,87.0,691.0,786
4,30.02216863632202,2.269123,85.0,697.0,784
5,40.0299859046936,2.351938,79.0,663.0,760
6,50.034297943115234,2.437732,90.0,691.0,775
7,60.04194712638855,2.521811,87.0,691.0,788
8,70.04950046539307,2.603982,75.0,701.0,781
9,80.05433058738708,2.689750,82.0,715.0,812
10,90.06043028831482,2.774043,97.0,736.0,814
11,100.06773662567139,2.858402,90.0,686.0,770
12,110.07496356964111,2.942310,101.0,714.0,805
13,120.07829761505127,2.019391,106.0,586.0,685
