time,PM2.5 env,particles 2.5um,Temperature,Gas,Humidity,Pressure,Altitude
1772231517.0112097,0,0,33.3919140625,50626,100,766.5663078336963,2292.2296779401804
1772231518.0225716,0,0,22.23859375,4812,54.276612899788454,1008.1596467824749,42.46713013584191
1772231519.0358868,0,0,22.278046875,6790,54.196831419628104,1008.1669052631084,42.40645155395146
1772231520.0497887,0,0,22.3243359375,8879,54.0722266485495,1008.1757763111216,42.33229290368951
1772231521.063159,0,0,22.3704296875,10948,53.941134557467976,1008.1843312218624,42.2607775434626
1772231522.0766473,0,0,22.410859375,13659,53.7897863454867,1008.193108631342,42.18740270053845
1772231523.089874,0,0,22.4450390625,15976,53.64424197595861,1008.2011879562691,42.11986395962889
1772231524.1033542,0,0,22.4755078125,18208,53.50482724999908,1008.2107415224641,42.04000193289032
1772231525.116346,0,0,22.5016796875,20609,53.41705434332239,1008.2061929216711,42.078025403985585
1772231526.1296988,0,0,22.5251171875,22760,53.27686570045476,1008.2083231762995,42.06021778409678
1772231527.1431305,0,0,22.5450390625,26538,53.175350799400576,1008.2049110502364,42.08874107629756
1772231528.1567295,0,0,22.5614453125,28715,53.073424250915316,1008.2014529909574,42.1176484219074
1772231529.1697729,0,0,22.5762890625,31083,52.984345390458216,1008.1991954789738,42.13651994018482
1772231530.1835666,0,0,22.5899609375,33516,52.88215754935695,1008.2024185877427,42.109576591530946
1772231531.1970627,0,0,22.60109375,35772,52.78618382942888,1008.2016401300591,42.11608404681346
1772231532.2091546,0,0,22.6118359375,38188,52.69020614866358,1008.2075741096228,42.06647951782741
1772231533.2204452,0,0,22.620625,40576,52.619971758049516,1008.2067659178995,42.07323550456649
1772231534.231708,0,0,22.6282421875,42656,52.549609485853,1008.2132717565561,42.01885081109353
1772231535.2429063,0,0,22.635859375,45099,52.47278935842271,1008.2161130898119,41.995099152570674
1772231536.2541075,0,0,22.64171875,49102,52.42169478348487,1008.2161845036421,41.99450218108897
1772231537.2673414,0,0,22.646796875,51634,52.364032200862,1008.211360322627,42.03482915946902
1772231538.2807946,0,0,22.6516796875,53744,52.325795105319656,1008.2043959659796,42.09304687322681
1772231539.2942233,0,0,22.65578125,55891,52.26803413126996,1008.1980327119089,42.146240025934134
1772231540.307619,0,0,22.6610546875,57533,52.236341807257844,1008.1916834281574,42.19931666573728
1772231541.3210166,0,0,22.6657421875,59435,52.185157183098916,1008.1972367210515,42.152894071879686
1772231542.3359072,0,0,22.6721875,61681,52.18599498479188,1008.1945657688905,42.175221794593035
1772231543.3493578,0,0,22.677265625,63687,52.173708507087696,1008.1952374518032,42.16960688239591
1772231544.3628526,0,0,22.683515625,65002,52.19394134370968,1008.2032523852914,42.10260653154148
1772231545.376299,0,0,22.688984375,67388,52.22702475124642,1008.2027069911129,42.10716570745591
1772231546.3896494,0,0,22.6942578125,69241,52.266565487417026,1008.2073508285026,42.06834601050424
1772231547.4034743,0,0,22.698359375,71085,52.31244057983015,1008.2064835243019,42.07559614274394
1772231548.417033,0,0,22.7032421875,72191,52.39083100476815,1008.2031822323744,42.103192968731534
1772231549.4300346,0,0,22.708125,73516,52.44980560899334,1008.2090428086734,42.054202106469994
1772231550.4434154,0,0,22.71359375,75468,52.47645357677527,1008.1993347395447,42.13535579990115
1772231551.45722,0,0,22.71828125,78214,52.50300369263813,1008.2048874407307,42.08893843763561
1772231552.4706602,0,0,22.7227734375,78985,52.503590604042486,1008.2009701791569,42.12168445152079
1772231553.484042,0,0,22.7278515625,81242,52.47831568046861,1008.2016408175477,42.1160782998049
