time,PM2.5 env,particles 2.5um,Temperature,Gas,Humidity,Pressure,Altitude
1772233684.9954417,0,0,33.3919140625,109676,100,766.5663078336963,2292.2296779401804
1772233686.008938,0,0,27.8551953125,14639,39.7105291376982,1008.4790974143294,39.796959523020526
1772233687.0237904,0,0,27.90421875,19938,39.746227205619775,1008.4893377935882,39.71137527987369
1772233688.03683,0,0,27.9628125,27043,39.66161803929968,1008.4942272423316,39.67051182961477
1772233689.0481715,0,0,28.01515625,33592,39.59454953416799,1008.5041006763995,39.58799533092354
1772233690.0594103,0,0,28.0567578125,39952,39.48389958963755,1008.5082380502256,39.55341772809722
1772233691.0706217,0,0,28.088984375,47694,39.360179978329114,1008.5143267336525,39.50253249948293
1772233692.081839,0,0,28.11671875,53842,39.23605588406127,1008.5226206782719,39.43321754224218
1772233693.0931113,0,0,28.1430859375,59515,39.09372741684931,1008.5343160556566,39.33547658596694
1772233694.1065528,0,0,28.15578125,65002,38.962122429170435,1008.5412467597592,39.27755553225833
1772233695.1195855,0,0,28.165546875,69956,38.848416737211856,1008.5491364311455,39.21162062078578
1772233696.1320002,0,0,28.1739453125,74827,38.7406746961681,1008.5604303996884,39.117236324503835
1772233697.1454082,0,0,28.1731640625,79555,38.68026400749682,1008.5610558468711,39.11200945411678
1772233698.1602845,0,0,28.176875,83395,38.71685549414601,1008.60012606412,38.78550433375175
1772233699.175523,0,0,28.1829296875,87537,38.45829318493652,1008.6169927350528,38.64455475217048
1772233700.1890655,0,0,28.19015625,90877,38.477135577754034,1008.630149410243,38.53460978894963
1772233701.202652,0,0,28.19015625,97483,38.170200420591925,1008.630149410243,38.53460978894963
1772233702.2161446,0,0,28.19640625,101351,38.1167585295647,1008.6325378388387,38.514650790810386
1772233703.2295866,0,0,28.201484375,105350,38.087245886753216,1008.6275482135065,38.55634683601431
1772233704.243022,0,0,28.2130078125,108528,38.094475871294755,1008.6455807154748,38.405658150820784
1772233705.25816,0,0,28.2313671875,111059,38.11445197050978,1008.6447406394923,38.412678201167545
1772233706.2716553,0,0,28.254609375,113783,38.18906559260642,1008.6589322582764,38.29408732777229
1772233707.2847614,0,0,28.2844921875,117265,38.053968817869176,1008.67057557433,38.1967921056482
1772233708.2977972,0,0,28.3270703125,119007,37.974363880339816,1008.6835964021042,38.08798703812844
1772233709.311194,0,0,28.37296875,122057,37.967203469813235,1008.6925631322596,38.013059615153374
