time,PM2.5 env,particles 2.5um,Temperature,Gas,Humidity,Pressure,Altitude
1771629551.529704,0,1,33.1438671875,129808,100,702.877453836745,2980.424988956585
1771629552.5435443,0,1,22.666328125,49832,36.71780140893065,1006.6999088370108,54.67726866149457
1771629553.5548427,0,1,22.7063671875,59536,36.69275209390612,1006.7065151544982,54.6219771093108
1771629554.5680256,0,1,22.7548046875,64546,36.68592304242348,1006.7125993728021,54.571055524379496
1771629555.5818741,0,1,22.803828125,68754,36.69654710584061,1006.7125734070673,54.5712728428714
1771629556.5952806,0,1,22.8503125,71796,36.735924321285225,1006.7225289021593,54.48795132084182
1771629557.6086876,1,1,22.8926953125,75389,36.78651881923121,1006.7311323596917,54.41594607955907
1771629558.622168,1,1,22.930390625,77465,36.80765229536146,1006.739200820653,54.34841885797854
1771629559.63359,1,1,22.9626171875,79509,36.810837501931736,1006.7384237908602,54.35492202002974
1771629560.6448314,1,1,22.9926953125,81114,36.77898744790187,1006.7376943154404,54.36102719101202
1771629561.6561346,1,1,23.0231640625,82786,36.75298272014047,1006.735829534746,54.3766340456737
1771629562.6673532,1,1,23.064375,82381,36.79187712185244,1006.7336959116614,54.39449094382064
1771629563.678517,1,1,23.114375,82061,37.13970455876653,1006.7334193225879,54.39680579865027
1771629564.69094,1,1,23.1614453125,84274,37.68647517506536,1006.7336858680154,54.39457500202593
1771629565.7045424,1,1,23.2079296875,85469,38.106327586801555,1006.7294695072596,54.42986301423047
1771629566.7217944,1,1,23.2454296875,88425,38.362140435032245,1006.7406996193802,54.33587503768004
1771629567.7352405,1,1,23.27453125,89837,38.4120525437158,1006.7418805558746,54.325991496327475
1771629568.748678,1,1,23.3012890625,91493,38.326811314922324,1006.7427974599278,54.318317712402916
1771629569.7626793,1,1,23.322578125,92801,38.153158139486415,1006.7454554847798,54.29607211431885
1771629570.7770584,1,1,23.3419140625,94043,37.94438224222779,1006.7467193750078,54.28549435404012
1771629571.79062,1,1,23.36125,95210,37.68913894929813,1006.7409275979896,54.33396702917617
1771629572.804123,1,1,23.383515625,95124,37.48708502991038,1006.7398671723423,54.34284199265966
1771629573.8175292,1,0,23.401484375,96649,37.308154968795606,1006.7459714174889,54.291754164835275
1771629574.8308535,1,0,23.4133984375,97883,37.08226112298578,1006.7564018823158,54.204459792601725
1771629575.8443787,1,0,23.423359375,98511,36.87973663877553,1006.7548581508518,54.217379503248566
1771629576.8556287,1,0,23.4321484375,99675,36.6657490196135,1006.7496569570587,54.26090916021827
1771629577.8670418,1,0,23.4403515625,99970,36.45199506551627,1006.7540910801154,54.22379923452703
1771629578.878286,1,0,23.4466015625,101595,36.24991605108353,1006.7500783684244,54.2573822915457
1771629579.8895013,1,0,23.4505078125,102397,36.070991927266796,1006.7493340594492,54.26361155008382
1771629580.9028275,1,0,23.4493359375,103274,35.90910397430906,1006.7492046081418,54.26469495223694
1771629581.9162383,1,0,23.4440625,103464,35.7642970545202,1006.7512676263641,54.24742918112492
1771629582.9296982,1,0,23.4372265625,104489,35.636770729177314,1006.7472787044411,54.28081321307696
1771629583.943146,1,0,23.4239453125,106132,35.497215302360885,1006.7469863381651,54.28326008520888
1771629584.9555335,1,0,23.404609375,106467,35.37447355608892,1006.7422020796367,54.323300588307895
1771629585.9684103,1,0,23.389375,107759,35.22923731976443,1006.7440431330053,54.30789239288894
1771629586.9813623,1,0,23.3747265625,108661,35.10143231268987,1006.7450661984258,54.29933013497487
1771629587.9949868,1,0,23.3524609375,109507,34.96154147307532,1006.7355445895996,54.379018830838035
1771629589.0063353,0,0,23.3278515625,109223,34.83876604155738,1006.727524824785,54.446138696715124
1771629590.0175903,0,0,23.305,111093,34.72199503326815,1006.7346867608352,54.38619824159282
1771629591.0288393,0,0,23.2817578125,111313,34.61673421821416,1006.7341614639288,54.390594601935895
1771629592.040112,1,0,23.25734375,112126,34.52288501258255,1006.731740174592,54.4108590902563
1771629593.0514972,1,0,23.2235546875,111829,34.43393932100298,1006.7423773158661,54.321833995367676
1771629594.0648746,1,0,23.18859375,113560,34.36779937104339,1006.7176165777918,54.52906444571151
1771629595.0789683,1,0,23.158125,113943,34.29640622293457,1006.6983496523743,54.69031829496521
1771629596.09223,1,0,23.1274609375,113790,34.24786805763478,1006.675239038698,54.883745053268946
1771629597.1057498,1,0,23.0977734375,114718,34.193736050937915,1006.6519418586709,55.07873693786311
1771629598.1191213,0,0,23.0622265625,115424,34.161900254212455,1006.6315124845595,55.24972897246329
1771629599.132521,0,0,23.020625,113790,34.13521571453033,1006.615395129897,55.38463177269337
1771629600.147345,0,0,22.9731640625,116299,34.10229502166493,1006.5986143674944,55.52508917641749
1771629601.1623063,0,0,22.925703125,116379,34.08648779233649,1006.5906376325788,55.59185626397577
1771629602.1773255,1,0,22.88078125,117842,34.09942034340458,1006.5902805370457,55.594845244913294
1771629603.190738,1,0,22.8356640625,117760,34.106634986936086,1006.5755022211442,55.718544281689525
1771629604.2041736,1,0,22.7868359375,119006,34.113506015003004,1006.5776232576775,55.70079046497537
1771629605.2165995,1,0,22.7278515625,117925,34.11373652228466,1006.5703613152604,55.761575585455184
1771629606.2300115,1,0,22.671015625,118587,34.13696579066144,1006.5595122516409,55.85238688704904
1771629607.2450445,1,0,22.6114453125,118671,34.14854304852613,1006.5512754709353,55.92133279289479
1771629608.2583444,1,0,22.5471875,119766,34.18248686033809,1006.5231159904049,56.15704494606862
1771629609.2725997,1,0,22.4790234375,120192,34.22177297679307,1006.4851051388255,56.47522759607584
1771629610.2878091,1,0,22.4016796875,120795,34.277319416589975,1006.4533679406435,56.74090196843168
